Ref,Val,Package,PosX,PosY,Rot,Side
"C4","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-32.651873,11.844574,0.000000,bottom
"C5","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-44.234273,11.844574,0.000000,bottom
"C6","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-68.694473,11.844574,0.000000,bottom
"C7","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-80.403873,11.844574,0.000000,bottom
"C8","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-115.656693,45.804138,0.000000,bottom
"C9","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-97.146518,23.353699,135.000000,bottom
"C10","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-97.019419,21.337612,-45.000000,bottom
"C11","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-93.590419,26.163612,45.000000,bottom
"C12","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-95.749419,34.672612,-45.000000,bottom
"C13","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-94.384054,40.079658,180.000000,bottom
"C14","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-105.944785,31.048697,135.000000,bottom
"C15","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-102.693142,32.551684,-45.000000,bottom
"C16","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-96.791939,29.365132,135.000000,bottom
"C17","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-75.464785,25.714697,-90.000000,bottom
"C18","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-78.151642,29.059484,90.000000,bottom
"C19","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-72.156142,36.767284,180.000000,bottom
"C20","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-74.569142,49.199284,180.000000,bottom
"C21","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-78.150542,32.386884,-90.000000,bottom
"C22","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-64.085142,31.357284,90.000000,bottom
"C23","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-64.085142,34.659284,-90.000000,bottom
"C24","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-59.005142,25.769284,-90.000000,bottom
"C25","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-58.998942,29.110284,90.000000,bottom
"C26","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-58.998942,32.437684,-90.000000,bottom
"C27","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-58.973542,36.196884,-90.000000,bottom
"C28","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-58.059142,49.199284,180.000000,bottom
"C29","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-49.777642,31.800284,90.000000,bottom
"C30","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-50.031642,36.499284,90.000000,bottom
"C31","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-42.469742,25.769284,-90.000000,bottom
"C32","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-44.851142,29.071884,90.000000,bottom
"C33","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-42.438142,31.903684,-90.000000,bottom
"C34","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-42.438142,36.297884,-90.000000,bottom
"C35","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-41.549142,49.264084,180.000000,bottom
"C36","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-30.931942,31.509484,90.000000,bottom
"C37","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-30.928102,34.848490,-90.000000,bottom
"C38","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-25.959741,25.769285,-90.000000,bottom
"C39","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-25.953542,29.121884,90.000000,bottom
"C40","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-25.953542,32.474684,-90.000000,bottom
"C41","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-25.953542,36.120084,-90.000000,bottom
"C42","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-25.089942,49.264084,180.000000,bottom
"C43","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-11.989742,31.408684,90.000000,bottom
"C44","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-11.989742,34.736084,-90.000000,bottom
"R2","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-19.949493,12.936538,180.000000,bottom
