"Qty","Comment","Designator","Footprint","LCSC Part #"
"40","0.1uF","C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","C14663"
"3","10uF","C2,C3,C16","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C117023"
"1","47uF","C1","CP_Radial_D6.3mm_P2.50mm","C239310"
"3","BAT43W-V","D1,D2,D3","D_SOD-123","C7502694"
"1","33","R1","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","C23140"
"2","33","R3,R4","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C23140"
"1","10K","R2","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","C25804"
"8","33","RN1,RN2,RN3,RN4,RN5,RN6,RN7,RN8","R_Array_Convex_4x0603","C25508"
"4","74LVCR2245","U2,U3,U4,U5","TSSOP-20_4.4x6.5mm_P0.65mm","C7848"
"4","AS4C32M16SC","U7,U8,U9,U10","TSOP-II-54_22.2x10.16mm_P0.8mm",""
"1","LM1117-3.3","U1","SOT-223-3_TabPin2","C129334"
"1","XC95144XL-TQ100","U6","TQFP-100_14x14mm_P0.5mm","C45126"
"1","66MHz","X1","Oscillator_SMD_Abracon_ASV-4Pin_7.0x5.1mm_HandSoldering","C387152"
