Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","47uF","CP_Radial_D6.3mm_P2.50mm",121.9600,13.8215,0.0000,top
"C2","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",123.5710,19.7014,0.0000,top
"C3","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",118.1608,19.7014,180.0000,top
"C4","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",32.6519,11.8446,0.0000,bottom
"C5","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",44.2343,11.8446,0.0000,bottom
"C6","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",68.6945,11.8446,0.0000,bottom
"C7","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",80.4039,11.8446,0.0000,bottom
"C8","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",115.6567,45.8041,0.0000,bottom
"C9","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",97.1465,23.3537,135.0000,bottom
"C10","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",97.0194,21.3376,315.0000,bottom
"C11","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",93.5904,26.1636,45.0000,bottom
"C12","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",95.7494,34.6726,315.0000,bottom
"C13","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",94.3841,40.0797,180.0000,bottom
"C14","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",105.9448,31.0487,135.0000,bottom
"C15","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",102.6931,32.5517,315.0000,bottom
"C16","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",96.7919,29.3651,315.0000,bottom
"C17","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",75.4648,25.7147,270.0000,bottom
"C18","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",78.1516,29.0595,90.0000,bottom
"C19","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",72.1561,36.7673,180.0000,bottom
"C20","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",74.5691,49.1993,180.0000,bottom
"C21","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",78.1505,32.3869,270.0000,bottom
"C22","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",64.0851,31.3573,90.0000,bottom
"C23","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",64.0851,34.6593,270.0000,bottom
"C24","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",59.0051,25.7693,270.0000,bottom
"C25","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",58.9989,29.1103,90.0000,bottom
"C26","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",58.9989,32.4377,270.0000,bottom
"C27","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",58.9735,36.1969,270.0000,bottom
"C28","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",58.0591,49.1993,180.0000,bottom
"C29","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",49.7776,31.8003,90.0000,bottom
"C30","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",50.0316,36.4993,90.0000,bottom
"C31","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",42.4697,25.7693,270.0000,bottom
"C32","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",44.8511,29.0719,90.0000,bottom
"C33","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",42.4381,31.9037,270.0000,bottom
"C34","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",42.4381,36.2979,270.0000,bottom
"C35","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",41.5491,49.2641,180.0000,bottom
"C36","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",30.9319,31.5095,90.0000,bottom
"C37","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",30.9281,34.8485,270.0000,bottom
"C38","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",25.9597,25.7693,270.0000,bottom
"C39","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",25.9535,29.1219,90.0000,bottom
"C40","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",25.9535,32.4747,270.0000,bottom
"C41","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",25.9535,36.1201,270.0000,bottom
"C42","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",25.0899,49.2641,180.0000,bottom
"C43","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",11.9897,31.4087,90.0000,bottom
"C44","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",11.9897,34.7361,270.0000,bottom
"D1","BAT43W-V","D_SOD-123",10.2491,20.5568,90.0000,top
"D2","BAT43W-V","D_SOD-123",12.9161,20.5568,90.0000,top
"D3","BAT43W-V","D_SOD-123",7.5821,20.5568,90.0000,top
"R1","33","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",113.9327,35.6846,180.0000,top
"R2","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",20.5361,13.4194,90.0000,top
"R3","33","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",10.2491,15.7308,270.0000,top
"R4","33","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",7.5821,15.7308,270.0000,top
"RN1","33","R_Array_Convex_4x0603",18.2445,23.0473,180.0000,top
"RN2","33","R_Array_Convex_4x0603",22.0545,23.0473,180.0000,top
"RN3","33","R_Array_Convex_4x0603",34.7545,23.0473,180.0000,top
"RN4","33","R_Array_Convex_4x0603",38.5645,23.0473,180.0000,top
"RN5","33","R_Array_Convex_4x0603",51.2645,23.0473,180.0000,top
"RN6","33","R_Array_Convex_4x0603",55.0745,23.0473,180.0000,top
"RN7","33","R_Array_Convex_4x0603",67.7745,23.0473,180.0000,top
"RN8","33","R_Array_Convex_4x0603",71.5845,23.0473,180.0000,top
"U1","LM1117-3.3","SOT-223-3_TabPin2",119.7183,25.5329,270.0000,top
"U2","74LVCR2245","TSSOP-20_4.4x6.5mm_P0.65mm",27.0040,14.7238,180.0000,top
"U3","74LVCR2245","TSSOP-20_4.4x6.5mm_P0.65mm",38.4340,14.7238,180.0000,top
"U4","74LVCR2245","TSSOP-20_4.4x6.5mm_P0.65mm",63.0529,14.7238,180.0000,top
"U5","74LVCR2245","TSSOP-20_4.4x6.5mm_P0.65mm",74.4829,14.7238,180.0000,top
"U6","XC95144XL-TQ100","TQFP-100_14x14mm_P0.5mm",96.7919,29.3651,45.0000,top
"U7","AS4C32M16SC","TSOP-II-54_22.2x10.16mm_P0.8mm",20.1781,37.0213,90.0000,top
"U8","AS4C32M16SC","TSOP-II-54_22.2x10.16mm_P0.8mm",36.6881,37.0213,90.0000,top
"U9","AS4C32M16SC","TSOP-II-54_22.2x10.16mm_P0.8mm",53.1981,37.0213,90.0000,top
"U10","AS4C32M16SC","TSOP-II-54_22.2x10.16mm_P0.8mm",69.7081,37.0213,90.0000,top
"X1","66MHz","Oscillator_SMD_Abracon_ASV-4Pin_7.0x5.1mm_HandSoldering",112.3579,40.7390,270.0000,top
